,Organization Name,latitude,longitude,Organization Name URL,Operating Status,Total Funding Amount Currency (in USD),Estimated Revenue Range
123,Deliveright,45.5602056,-122.500746,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
124,Deliveright,38.9614403,-94.7207201,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
125,Deliveright,39.8114694,-104.9765902,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
126,Deliveright,33.4462917,-112.1826077,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
127,Deliveright,32.11026,-110.8439763,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
128,Deliveright,42.9908804,-88.24909,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
129,Deliveright,39.909086,-86.2373582,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
130,Deliveright,44.9625891,-93.1814625,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
131,Deliveright,41.2205493,-95.9811284,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
132,Deliveright,35.9989587,-86.6129859,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
133,Deliveright,34.6792531,-92.3133848,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
134,Deliveright,42.8741185,-85.5491297,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
135,Deliveright,39.9796732,-83.0770131,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
136,Deliveright,43.6823756,-79.6826598,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
137,Deliveright,42.7185076,-83.2510348,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
138,Deliveright,40.4916244,-80.3328725,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
139,Deliveright,44.7924864,-68.835991,https://www.crunchbase.com/organization/deliveright,Active,6200000,$1M to $10M
140,Intelage,47.6136707,-122.2013072,https://www.crunchbase.com/organization/intelage,Active,5800000,$1M to $10M
141,Flare,-1.2582583,36.8050906,https://www.crunchbase.com/organization/flare,Active,325000,Less than $1M
142,Transmute,30.2871892,-97.7162757,https://www.crunchbase.com/organization/transmute-industries,Active,3210000,$1M to $10M
143,Foxtrot Systems,-23.5344936,-46.6676672,https://www.crunchbase.com/organization/foxtrot-systems,Active,9138671,$1M to $10M
144,Foxtrot Systems,37.7796974,-122.4017869,https://www.crunchbase.com/organization/foxtrot-systems,Active,9138671,$1M to $10M
145,SYNAOS,48.1514277,11.5751985,https://www.crunchbase.com/organization/synaos,Active,6874498,$1M to $10M
146,SYNAOS,52.3772891,9.7327901,https://www.crunchbase.com/organization/synaos,Active,6874498,$1M to $10M
147,Trax Technologies,34.1447295,-118.3610785,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
148,Trax Technologies,33.6224045,-111.9286812,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
149,Trax Technologies,32.8690248,-96.9352555,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
150,Trax Technologies,35.0622011,-89.8425281,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
151,Trax Technologies,9.9799205,-84.1520875,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
152,Trax Technologies,52.2918954,4.7096246,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
153,Trax Technologies,22.538198,114.038308,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
154,Trax Technologies,14.5408671,121.0503183,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
155,Trax Technologies,10.3338299,123.8941434,https://www.crunchbase.com/organization/trax-technologies,Active,15000000,$10M to $50M
156,FreightVerify,42.2809486,-83.7463684,https://www.crunchbase.com/organization/freightverify,Active,10299881,$10M to $50M
157,MARS Auto,37.566535,126.9779692,https://www.crunchbase.com/organization/mars-auto,Active,519242,Less than $1M
158,MARS Auto,39.2000415,-75.5555708,https://www.crunchbase.com/organization/mars-auto,Active,519242,Less than $1M
159,Banyan Technology,41.4729745,-81.9636243,https://www.crunchbase.com/organization/banyan-technology,Active,9950000,$1M to $10M
160,FleetPanda,37.5366033,-122.3269607,https://www.crunchbase.com/organization/fuelpanda,Active,6834348,$1M to $10M
161,Tracks,52.45314,13.38517,https://www.crunchbase.com/organization/tracks-fa20,Active,2250651,$1M to $10M
162,Cohealo,42.3587826,-71.0596246,https://www.crunchbase.com/organization/cohealo,Active,12550000,$1M to $10M
163,Advanced Call Center Technologies,40.0618782,-75.4685761,https://www.crunchbase.com/organization/advanced-call-center-technologies,Active,8000000,$100M to $500M
164,Wyndy,33.5119225,-86.812541,https://www.crunchbase.com/organization/wyndy,Active,5817500,Less than $1M
165,Qucit,44.8061184,-0.5599449,https://www.crunchbase.com/organization/qucit,Active,1983180,$1M to $10M
166,Autobon AI,42.1009154,-88.025672,https://www.crunchbase.com/organization/autobon,Active,1295000,$1M to $10M
167,CARGGO,41.7298399,-88.2073882,https://www.crunchbase.com/organization/carggo,Active,15572000,Less than $1M
168,CARGGO,40.7551279,-73.9861749,https://www.crunchbase.com/organization/carggo,Active,15572000,Less than $1M
169,CARGGO,54.69574,25.2754979,https://www.crunchbase.com/organization/carggo,Active,15572000,Less than $1M
170,InMotion Global - AscendTMS,32.9812114,-97.0151526,https://www.crunchbase.com/organization/inmotion-global,Active,7500000,$1M to $10M
171,InMotion Global - AscendTMS,27.932464,-82.3048688,https://www.crunchbase.com/organization/inmotion-global,Active,7500000,$1M to $10M
172,ProperGate,52.252077,21.038517,https://www.crunchbase.com/organization/propergate,Active,1307794,Less than $1M
173,Lanetix,52.0880911,4.3201461,https://www.crunchbase.com/organization/lanetix,Active,9217712,$1M to $10M
174,Lanetix,37.7929158,-122.4046905,https://www.crunchbase.com/organization/lanetix,Active,9217712,$1M to $10M
175,KoiReader Technologies,12.97194,77.59369,https://www.crunchbase.com/organization/koireader-technologies-inc,Active,642000,Less than $1M
176,KoiReader Technologies,1.332978,103.894846,https://www.crunchbase.com/organization/koireader-technologies-inc,Active,642000,Less than $1M
177,KoiReader Technologies,32.773314,-96.8334793,https://www.crunchbase.com/organization/koireader-technologies-inc,Active,642000,Less than $1M
178,Evertracker,53.6009914,11.4181828,https://www.crunchbase.com/organization/evertracker,Active,2681686,$1M to $10M
179,Eurosender,49.6039645,6.1366934,https://www.crunchbase.com/organization/eurosender,Active,746280,$1M to $10M
180,Eurosender,46.0307254,14.4639834,https://www.crunchbase.com/organization/eurosender,Active,746280,$1M to $10M
181,Eurosender,50.4641085,30.4792904,https://www.crunchbase.com/organization/eurosender,Active,746280,$1M to $10M
182,Swarm Engineering,33.6587971,-117.8035663,https://www.crunchbase.com/organization/swarm-engineering,Active,2740279,Less than $1M
183,Omnichain,33.923387,-118.4045808,https://www.crunchbase.com/organization/omnichain,Active,1500000,$1M to $10M
184,BitLog,59.4034003,17.9463656,https://www.crunchbase.com/organization/bitlog-4da7,Active,1185494,$1M to $10M
185,FarmTrace,51.642888,5.9287524,https://www.crunchbase.com/organization/farmtrace,Active,1000000,$1M to $10M
186,FarmTrace,33.6860546,-117.8473524,https://www.crunchbase.com/organization/farmtrace,Active,1000000,$1M to $10M
187,Coconut Silo,37.502503,127.0356746,https://www.crunchbase.com/organization/coconut-silo,Active,470000,Less than $1M
188,Coconut Silo,10.7823432,106.6985216,https://www.crunchbase.com/organization/coconut-silo,Active,470000,Less than $1M
189,Coconut Silo,37.392429,-121.933612,https://www.crunchbase.com/organization/coconut-silo,Active,470000,Less than $1M
190,Coconut Silo,36.9861099,120.63195,https://www.crunchbase.com/organization/coconut-silo,Active,470000,Less than $1M
191,Coconut Silo,28.4942883,77.0889127,https://www.crunchbase.com/organization/coconut-silo,Active,470000,Less than $1M
192,Spotter,40.7567576,-73.9760823,https://www.crunchbase.com/organization/spotter-0343,Active,100000,$1M to $10M
193,Longbow Advantage,45.5031824,-73.5698065,https://www.crunchbase.com/organization/longbow-advantage,Active,788545,$1M to $10M
194,Longbow Advantage,42.2416784,-83.7410858,https://www.crunchbase.com/organization/longbow-advantage,Active,788545,$1M to $10M
195,Longbow Advantage,43.5989363,-79.7407111,https://www.crunchbase.com/organization/longbow-advantage,Active,788545,$1M to $10M
196,Cultivera,47.6099081,-122.3399526,https://www.crunchbase.com/organization/s2solutions,Active,1000000,$1M to $10M
197,StrongLoop,37.5669986,-122.3237495,https://www.crunchbase.com/organization/strongloop,Active,9000000,$1M to $10M
198,Efreightsolutions Holdings,34.0510747,-118.1620214,https://www.crunchbase.com/organization/efreightsolutions-holdings,Active,20000000,$10M to $50M
199,Efreightsolutions Holdings,36.0984849,-80.2462436,https://www.crunchbase.com/organization/efreightsolutions-holdings,Active,20000000,$10M to $50M
200,Efreightsolutions Holdings,43.3779582,-80.7097035,https://www.crunchbase.com/organization/efreightsolutions-holdings,Active,20000000,$10M to $50M
201,Efreightsolutions Holdings,10.3290473,123.9068258,https://www.crunchbase.com/organization/efreightsolutions-holdings,Active,20000000,$10M to $50M
202,Qv21 Technologies,30.295116,-97.829614,https://www.crunchbase.com/organization/qv21-technologies,Active,6194900,$1M to $10M
203,Livegistics,42.3643751,-83.0718773,https://www.crunchbase.com/organization/livegistics,Active,1000000,$1M to $10M
204,Amous,41.8955144,-87.6850904,https://www.crunchbase.com/organization/amous-international-inc,Active,1200000,$1M to $10M
205,Propel,40.4890137,-79.9720183,https://www.crunchbase.com/organization/propel-it,Active,4650000,Less than $1M
206,FSI,36.0227724,-86.6037592,https://www.crunchbase.com/organization/fsi,Active,517000,$10M to $50M
207,BOXARR,51.4486901,-2.5871475,https://www.crunchbase.com/organization/boxarr,Active,3085686,$1M to $10M
208,BOXARR,51.5123893,-0.0902511,https://www.crunchbase.com/organization/boxarr,Active,3085686,$1M to $10M
209,GRIDSMART Technologies,35.9527644,-84.1514385,https://www.crunchbase.com/organization/aldis,Active,11043722,$1M to $10M
210,enVista,39.9542919,-86.1566893,https://www.crunchbase.com/organization/envista,Active,16100000,$100M to $500M
211,"Avion Solutions, Inc.",38.6645792,-90.6375296,https://www.crunchbase.com/organization/avion-solutions-inc,Active,15000,$10M to $50M
212,"Avion Solutions, Inc.",34.7298682,-86.6578813,https://www.crunchbase.com/organization/avion-solutions-inc,Active,15000,$10M to $50M
213,"Avion Solutions, Inc.",36.5510381,-87.3955409,https://www.crunchbase.com/organization/avion-solutions-inc,Active,15000,$10M to $50M
214,Synple,51.5941553,4.824253,https://www.crunchbase.com/organization/synple,Active,1388113,Less than $1M
215,Voltia,48.1893496,16.4047482,https://www.crunchbase.com/organization/greenway-operator,Active,9573002,$1M to $10M
216,Voltia,48.1653384,17.1373964,https://www.crunchbase.com/organization/greenway-operator,Active,9573002,$1M to $10M
217,In Forma Software,-8.0617652,-34.8717011,https://www.crunchbase.com/organization/in-forma-software,Active,1827010,$1M to $10M
218,Aerotronic,45.8027688,-108.5289366,https://www.crunchbase.com/organization/aerotronic,Active,170000,$1M to $10M
219,Supply Vision,33.6743032,-111.9804746,https://www.crunchbase.com/organization/supply-vision,Active,2125000,$1M to $10M
220,LM2S,48.9542528,2.4560492,https://www.crunchbase.com/organization/lm2s,Active,4242658,$1M to $10M
221,ForkNAV,58.3547293,26.6825114,https://www.crunchbase.com/organization/forknav,Active,113735,Less than $1M
222,ForkNAV,56.9810344,24.1851329,https://www.crunchbase.com/organization/forknav,Active,113735,Less than $1M
223,VeeRoute,60.1497845,29.6450907,https://www.crunchbase.com/organization/veeroute,Active,150000,$1M to $10M
224,EEE Innovations,60.2242144,24.7546314,https://www.crunchbase.com/organization/eee-innovations,Active,529380,Less than $1M
225,LogisticxPro,37.3541079,-121.9552356,https://www.crunchbase.com/organization/logisticxpro,Active,250000,$10M to $50M
226,LogisticxPro,1.3005022,103.8522215,https://www.crunchbase.com/organization/logisticxpro,Active,250000,$10M to $50M
227,LogisticxPro,3.1142958,101.5744791,https://www.crunchbase.com/organization/logisticxpro,Active,250000,$10M to $50M
228,ChainGO Tech,39.4715409,-0.3342213,https://www.crunchbase.com/organization/chaingo-tech,Active,1165873,$1M to $10M
229,ChainGO Tech,40.4204381,-3.7017506,https://www.crunchbase.com/organization/chaingo-tech,Active,1165873,$1M to $10M
230,Box2Box,43.7338994,-79.8314251,https://www.crunchbase.com/organization/box2box,Active,500000,$1M to $10M
231,Cloud Logistics,33.8890148,-84.4661994,https://www.crunchbase.com/organization/cloud-logistics,Active,10000,$1M to $10M
232,goCharge,40.7536526,-73.9860102,https://www.crunchbase.com/organization/gocharge,Active,1101523,$1M to $10M
233,Shipwise,52.505234,13.3931736,https://www.crunchbase.com/organization/shipwise,Active,16736,Less than $1M
234,Sovtes,50.4688257,30.4621588,https://www.crunchbase.com/organization/sovtes,Active,20000,$1M to $10M
235,Bucky Box,-41.2931163,174.7821707,https://www.crunchbase.com/organization/bucky-box,Active,276683,$1M to $10M
236,Agistix,37.7947881,-122.3984101,https://www.crunchbase.com/organization/agistix,Active,2000000,$1M to $10M
237,ApeSoft,39.0085383,-77.5034453,https://www.crunchbase.com/organization/ape-software,Active,3800000,$10M to $50M
238,ApeSoft,41.4847715,2.1270519,https://www.crunchbase.com/organization/ape-software,Active,3800000,$10M to $50M
239,Dayton T. Brown,37.6843628,-97.332753,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
240,Dayton T. Brown,38.3583554,-76.5719414,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
241,Dayton T. Brown,40.7719271,-73.0971552,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
242,Dayton T. Brown,41.3164856,-73.0931641,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
243,Idle Free Systems,43.060161,-89.5149224,https://www.crunchbase.com/organization/idle-free-systems,Active,1895000,$1M to $10M
244,Hi-G-Tek,39.1092145,-77.1541785,https://www.crunchbase.com/organization/hi-g-tek,Active,22260000,$10M to $50M
245,Hi-G-Tek,32.0211339,34.8626674,https://www.crunchbase.com/organization/hi-g-tek,Active,22260000,$10M to $50M
246,CellWand Communications,43.6479916,-79.377735,https://www.crunchbase.com/organization/cellwand-communications,Active,40000,Less than $1M
