,Unnamed: 0,index,rating,caption,middle,reviews
0,0,0,1.0,"(Translated by Google) The transport arrived, did not call to tell. throw things away bad …"," The transport arrived, did not call to tell. throw things away bad …"," The transport arrived, did not call to tell. throw things away bad …"
1,1,1,4.0,(Translated by Google) Slow delivery. Improve it  (Original) …, Slow delivery. Improve it  (Original, Slow delivery. Improve it  
2,2,2,1.0,"(Translated by Google) Lost things, but no responsibility Be careful, others. The number affixed to the label What do you have for cats? Called and no one picked up. …"," Lost things, but no responsibility Be careful, others. The number affixed to the label What do you have for cats? Called and no one picked up. …"," Lost things, but no responsibility Be careful, others. The number affixed to the label What do you have for cats? Called and no one picked up. …"
3,3,3,1.0,"(Translated by Google) Very bad, according to the parcel for 6 days already. Told to pay, but the recipient has to postpone it to the next day? Call the next day and tell the staff that they need to be quarantined. Working very late, told …"," Very bad, according to the parcel for 6 days already. Told to pay, but the recipient has to postpone it to the next day? Call the next day and tell the staff that they need to be quarantined. Working very late, told …"," Very bad, according to the parcel for 6 days already. Told to pay, but the recipient has to postpone it to the next day? Call the next day and tell the staff that they need to be quarantined. Working very late, told …"
4,4,4,1.0,"(Translated by Google) Ordered items from Shopee, items arrived at the branch, the status was being delivered. If it's being delivered, you have to wait 3 more days to receive the item, but inform you that it's delivering every day The …"," Ordered items from Shopee, items arrived at the branch, the status was being delivered. If it's being delivered, you have to wait 3 more days to receive the item, but inform you that it's delivering every day The …"," Ordered items from Shopee, items arrived at the branch, the status was being delivered. If it's being delivered, you have to wait 3 more days to receive the item, but inform you that it's delivering every day The …"
5,5,5,1.0,(Translated by Google) Lottery  (Original) หวยๆๆ, Lottery  (Original, Lottery  
6,6,6,4.0,(Translated by Google) You can park your car in front of the store.  (Original) จอดรถหน้าร้านได้เลยค่ะ, You can park your car in front of the store.  (Original, You can park your car in front of the store.  
7,7,7,1.0,"(Translated by Google) Ordering things from a shoppee, what would be like to be classified as wrongly every time, wasted time until the delivery was lured on the 5th day, I do not know what to wait for. …"," Ordering things from a shoppee, what would be like to be classified as wrongly every time, wasted time until the delivery was lured on the 5th day, I do not know what to wait for. …"," Ordering things from a shoppee, what would be like to be classified as wrongly every time, wasted time until the delivery was lured on the 5th day, I do not know what to wait for. …"
8,8,8,1.0,"(Translated by Google) Very bad, the number provided was not stuck. Even if stuck, there is no receiver I like the pickle of the main branch. …"," Very bad, the number provided was not stuck. Even if stuck, there is no receiver I like the pickle of the main branch. …"," Very bad, the number provided was not stuck. Even if stuck, there is no receiver I like the pickle of the main branch. …"
9,9,9,1.0,"(Translated by Google) Very bad, the delivery man spoke very badly, his behavior was not good at all. Like going to ask The driver drove a tricycle and delivered to Lerdsin. Could be …"," Very bad, the delivery man spoke very badly, his behavior was not good at all. Like going to ask The driver drove a tricycle and delivered to Lerdsin. Could be …"," Very bad, the delivery man spoke very badly, his behavior was not good at all. Like going to ask The driver drove a tricycle and delivered to Lerdsin. Could be …"
10,10,10,1.0,"(Translated by Google) What is the unsuccessful parcel delivery due to the recipient postponement of the shipment? Crazy? Who did you postpone? Calling, do not call. Security at the building, there is no deposit. Very bad. …"," What is the unsuccessful parcel delivery due to the recipient postponement of the shipment? Crazy? Who did you postpone? Calling, do not call. Security at the building, there is no deposit. Very bad. …"," What is the unsuccessful parcel delivery due to the recipient postponement of the shipment? Crazy? Who did you postpone? Calling, do not call. Security at the building, there is no deposit. Very bad. …"
11,11,11,1.0,(Translated by Google) The company is about to go bankrupt and the staff tell us all things do not deliver. To the warehouse as the nation The call was followed and not delivered. …, The company is about to go bankrupt and the staff tell us all things do not deliver. To the warehouse as the nation The call was followed and not delivered. …, The company is about to go bankrupt and the staff tell us all things do not deliver. To the warehouse as the nation The call was followed and not delivered. …
12,12,12,1.0,"(Translated by Google) Transport quality is very poor, even the most star should not be washed. How to postpone the delivery of your own, not calling and calling and not picking up The Sathorn branch calls won't be connected. It is the …"," Transport quality is very poor, even the most star should not be washed. How to postpone the delivery of your own, not calling and calling and not picking up The Sathorn branch calls won't be connected. It is the …"," Transport quality is very poor, even the most star should not be washed. How to postpone the delivery of your own, not calling and calling and not picking up The Sathorn branch calls won't be connected. It is the …"
13,13,13,1.0,"(Translated by Google) If you call, you can't contact as if you turned off your phone. The transmission went wrong …"," If you call, you can't contact as if you turned off your phone. The transmission went wrong …"," If you call, you can't contact as if you turned off your phone. The transmission went wrong …"
14,14,14,1.0,"(Translated by Google) Give 0 stars, but the system is forced to choose 1 star, people send things quickly, but the delivery person does not actually send, no contact, but informs in the system that cannot be contacted Recipient has …"," Give 0 stars, but the system is forced to choose 1 star, people send things quickly, but the delivery person does not actually send, no contact, but informs in the system that cannot be contacted Recipient has …"," Give 0 stars, but the system is forced to choose 1 star, people send things quickly, but the delivery person does not actually send, no contact, but informs in the system that cannot be contacted Recipient has …"
15,15,15,1.0,"(Translated by Google) Waiting for the pick up all day, but go up to update in shopping at 8 o'clock that customers postpone the pick up We hurriedly told the shop that we did not postpone the appointment, why the items did not deliver. In …"," Waiting for the pick up all day, but go up to update in shopping at 8 o'clock that customers postpone the pick up We hurriedly told the shop that we did not postpone the appointment, why the items did not deliver. In …"," Waiting for the pick up all day, but go up to update in shopping at 8 o'clock that customers postpone the pick up We hurriedly told the shop that we did not postpone the appointment, why the items did not deliver. In …"
16,16,16,1.0,"(Translated by Google) The item should arrive from 28/10/2020, no calls, not delivered at the address. But write down the follow-up that the recipient has postponed the appointment So what is it for three times? If the service is so bad, it …"," The item should arrive from 28/10/2020, no calls, not delivered at the address. But write down the follow-up that the recipient has postponed the appointment So what is it for three times? If the service is so bad, it …"," The item should arrive from 28/10/2020, no calls, not delivered at the address. But write down the follow-up that the recipient has postponed the appointment So what is it for three times? If the service is so bad, it …"
17,17,18,3.0,(Translated by Google) Closes a little early and the shop sign is not clear. But Nong is good service Delivery to customers quickly And like the notification system I'd like you to extend the closing hours and make a clear sign. 5 stars …, Closes a little early and the shop sign is not clear. But Nong is good service Delivery to customers quickly And like the notification system I'd like you to extend the closing hours and make a clear sign. 5 stars …, Closes a little early and the shop sign is not clear. But Nong is good service Delivery to customers quickly And like the notification system I'd like you to extend the closing hours and make a clear sign. 5 stars …
18,18,19,1.0,"(Translated by Google) Transportation is extremely bad. Can't send in time or get stuck in trouble, no call, tell me a word, I want to postpone it. Without a work ethic Suck up 👎🏻👎🏻👎🏻👎🏻👎🏻 …"," Transportation is extremely bad. Can't send in time or get stuck in trouble, no call, tell me a word, I want to postpone it. Without a work ethic Suck up 👎🏻👎🏻👎🏻👎🏻👎🏻 …"," Transportation is extremely bad. Can't send in time or get stuck in trouble, no call, tell me a word, I want to postpone it. Without a work ethic Suck up 👎🏻👎🏻👎🏻👎🏻👎🏻 …"
19,19,20,1.0,"(Translated by Google) No wonder why the delivery doesn't get late The product that is sent has to tell the front of the box what is inside. That is, if an employee is picking up something, they can watch it. This has been sent …"," No wonder why the delivery doesn't get late The product that is sent has to tell the front of the box what is inside. That is, if an employee is picking up something, they can watch it. This has been sent …"," No wonder why the delivery doesn't get late The product that is sent has to tell the front of the box what is inside. That is, if an employee is picking up something, they can watch it. This has been sent …"
20,20,21,2.0,"(Translated by Google) The signs of the shop are not gradually clear, difficult to see, not very good management. Today it comes to deliver goods at 9.30 and the store has not opened yet. …"," The signs of the shop are not gradually clear, difficult to see, not very good management. Today it comes to deliver goods at 9.30 and the store has not opened yet. …"," The signs of the shop are not gradually clear, difficult to see, not very good management. Today it comes to deliver goods at 9.30 and the store has not opened yet. …"
21,21,23,5.0,"(Translated by Google) Lovely staff, polite speech, resolve problems quickly. We have a delivery issue. Please add Line and send the address. In a few hours, she sent me a new parcel number. (The employee's name is Pumpui, as in the name of …"," Lovely staff, polite speech, resolve problems quickly. We have a delivery issue. Please add Line and send the address. In a few hours, she sent me a new parcel number. (The employee's name is Pumpui, as in the name of …"," Lovely staff, polite speech, resolve problems quickly. We have a delivery issue. Please add Line and send the address. In a few hours, she sent me a new parcel number. "
22,22,25,1.0,"(Translated by Google) The service does not matter, the book to pick up the parcel does not come, no customer contact, and when the call is followed, the answer is persistent. Improve it. …"," The service does not matter, the book to pick up the parcel does not come, no customer contact, and when the call is followed, the answer is persistent. Improve it. …"," The service does not matter, the book to pick up the parcel does not come, no customer contact, and when the call is followed, the answer is persistent. Improve it. …"
23,23,27,1.0,"(Translated by Google) Not successful But didn't see anyone coming And then said that we postponed the product receipt Even though the product hasn't been delivered yet, terrible. …"," Not successful But didn't see anyone coming And then said that we postponed the product receipt Even though the product hasn't been delivered yet, terrible. …"," Not successful But didn't see anyone coming And then said that we postponed the product receipt Even though the product hasn't been delivered yet, terrible. …"
24,24,28,1.0,(Translated by Google) Delivery is very slow. The item arrived at the destination branch for several days. But refused to deliver Why are you pickle? …, Delivery is very slow. The item arrived at the destination branch for several days. But refused to deliver Why are you pickle? …, Delivery is very slow. The item arrived at the destination branch for several days. But refused to deliver Why are you pickle? …
25,25,29,1.0,"(Translated by Google) Unable to reach the number, but there was no one answering. Very slow delivery. The item is not delivered. But the delivery is unsuccessful. Confused. Even though there are people 24 hours a day. …"," Unable to reach the number, but there was no one answering. Very slow delivery. The item is not delivered. But the delivery is unsuccessful. Confused. Even though there are people 24 hours a day. …"," Unable to reach the number, but there was no one answering. Very slow delivery. The item is not delivered. But the delivery is unsuccessful. Confused. Even though there are people 24 hours a day. …"
26,26,31,1.0,"(Translated by Google) Poor Poor everthing worst service Did not come to receive the product, so determined the booking with the shopee like this many times In addition, the phone number that is signed is not true in the world. Call …"," Poor Poor everthing worst service Did not come to receive the product, so determined the booking with the shopee like this many times In addition, the phone number that is signed is not true in the world. Call …"," Poor Poor everthing worst service Did not come to receive the product, so determined the booking with the shopee like this many times In addition, the phone number that is signed is not true in the world. Call …"
27,27,32,1.0,"(Translated by Google) Wrong life. Change. Try to go to the best express service. The service is terrible. Especially the women at the Sathorn branch, people who wear glasses This manners are superb. …"," Wrong life. Change. Try to go to the best express service. The service is terrible. Especially the women at the Sathorn branch, people who wear glasses This manners are superb. …"," Wrong life. Change. Try to go to the best express service. The service is terrible. Especially the women at the Sathorn branch, people who wear glasses This manners are superb. …"
28,28,33,1.0,(Translated by Google) Why did you pick up the slow pickle?  (Original) ห่วย ส่งของช้า ดองไว้ทำไม, Why did you pick up the slow pickle?  (Original, Why did you pick up the slow pickle?  
29,29,35,1.0,"(Translated by Google) Terrible, terrible. Not necessary. Not used. But it can not be changed, calling several times, saying to come to pick up the item, not to book Lazada up for a long time and said that if wanting to receive the product, …"," Terrible, terrible. Not necessary. Not used. But it can not be changed, calling several times, saying to come to pick up the item, not to book Lazada up for a long time and said that if wanting to receive the product, …"," Terrible, terrible. Not necessary. Not used. But it can not be changed, calling several times, saying to come to pick up the item, not to book Lazada up for a long time and said that if wanting to receive the product, …"
30,30,36,1.0,"(Translated by Google) Called to pick up the product, did not pick up Call to ask for an address but not to pick up …"," Called to pick up the product, did not pick up Call to ask for an address but not to pick up …"," Called to pick up the product, did not pick up Call to ask for an address but not to pick up …"
31,31,37,1.0,"(Translated by Google) Didn't call the item for a long time, why not pay for the customer to order later until all the delivery, and why do you open 3 to provide such a bad service? I wouldn't be angry. …"," Didn't call the item for a long time, why not pay for the customer to order later until all the delivery, and why do you open 3 to provide such a bad service? I wouldn't be angry. …"," Didn't call the item for a long time, why not pay for the customer to order later until all the delivery, and why do you open 3 to provide such a bad service? I wouldn't be angry. …"
32,32,39,1.0,(Translated by Google) Can't connect at all Appointment doesn't come  (Original) …, Can't connect at all Appointment doesn't come  (Original, Can't connect at all Appointment doesn't come  
33,33,40,1.0,"(Translated by Google) Worst. If not ready to service, should not open the service. …"," Worst. If not ready to service, should not open the service. …"," Worst. If not ready to service, should not open the service. …"
34,34,41,1.0,"(Translated by Google) The package was delivered very slowly. I do not understand how to manage the system, even after checking the status of the item has arrived at the destination branch for many days already. But haven't received …"," The package was delivered very slowly. I do not understand how to manage the system, even after checking the status of the item has arrived at the destination branch for many days already. But haven't received …"," The package was delivered very slowly. I do not understand how to manage the system, even after checking the status of the item has arrived at the destination branch for many days already. But haven't received …"
35,35,42,5.0,"(Translated by Google) Use the service for the second time. Service is very good, fast, inexpensive, in case of heavy weight products. Ordered from Sukhothai, 29 April - 1 May. 2 days to reach. Very good. Before sending an SMS notification …"," Use the service for the second time. Service is very good, fast, inexpensive, in case of heavy weight products. Ordered from Sukhothai, 29 April - 1 May. 2 days to reach. Very good. Before sending an SMS notification …"," Use the service for the second time. Service is very good, fast, inexpensive, in case of heavy weight products. Ordered from Sukhothai, 29 April - 1 May. 2 days to reach. Very good. Before sending an SMS notification …"
36,36,43,1.0,(Translated by Google) This is too bad.  (Original) แย่มากเรย​ ห่วยแตกส่งช้ามาก, This is too bad.  (Original, This is too bad.  
37,37,45,1.0,"(Translated by Google) Very slow delivery !!!! While typing this, it's still not …"," Very slow delivery !!!! While typing this, it's still not …"," Very slow delivery !!!! While typing this, it's still not …"
38,38,46,1.0,"(Translated by Google) The item arrived for several days, still not delivered.  (Original) …"," The item arrived for several days, still not delivered.  (Original"," The item arrived for several days, still not delivered.  "
39,39,47,1.0,What a bad service company.  Never can trust their words.   Both Phone and LINE cannot be reached.   Very poor customer service.  They dont know what they are doing.  Never use this company,,What a bad service company.  Never can trust their words.   Both Phone and LINE cannot be reached.   Very poor customer service.  They dont know what they are doing.  Never use this company
40,40,48,1.0,(Translated by Google) Do not pay  (Original) ไม่นำจ่ายสินค้า, Do not pay  (Original, Do not pay  
41,41,49,1.0,"(Translated by Google) What time do you open ?? Take good, storefront 8:00 Google 8:30 8:50 What is the sign for ""Staff to stay""? …"," What time do you open ?? Take good, storefront 8:00 Google 8:30 8:50 What is the sign for ""Staff to stay""? …"," What time do you open ?? Take good, storefront 8:00 Google 8:30 8:50 What is the sign for ""Staff to stay""? …"
42,42,50,3.0,"(Translated by Google) The goods had arrived a long time but didn't want to reach the destination. Too bad, but in the end, they were confused. …"," The goods had arrived a long time but didn't want to reach the destination. Too bad, but in the end, they were confused. …"," The goods had arrived a long time but didn't want to reach the destination. Too bad, but in the end, they were confused. …"
43,43,51,1.0,"(Translated by Google) Send the parcels from Hua Hin to Bangkok, stay at the Sathorn branch for 6 days and contact whichever way is not very bad. Do not recommend to use the service at all. …"," Send the parcels from Hua Hin to Bangkok, stay at the Sathorn branch for 6 days and contact whichever way is not very bad. Do not recommend to use the service at all. …"," Send the parcels from Hua Hin to Bangkok, stay at the Sathorn branch for 6 days and contact whichever way is not very bad. Do not recommend to use the service at all. …"
44,44,53,1.0,(Translated by Google) late  (Original) ส่งช้า, late  (Original, late  
45,45,54,1.0,(Translated by Google) Ordered at the destination branch Each time since waiting for 7 days still haven't received the item at all Being excluded from anything …, Ordered at the destination branch Each time since waiting for 7 days still haven't received the item at all Being excluded from anything …, Ordered at the destination branch Each time since waiting for 7 days still haven't received the item at all Being excluded from anything …
46,46,55,1.0,(Translated by Google) Delivery is very slow. No one answered. Will be the first and last service …, Delivery is very slow. No one answered. Will be the first and last service …, Delivery is very slow. No one answered. Will be the first and last service …
47,47,56,1.0,"(Translated by Google) Called and did not answer, will follow the package jerk  (Original) …"," Called and did not answer, will follow the package jerk  (Original"," Called and did not answer, will follow the package jerk  "
48,48,59,1.0,"(Translated by Google) Seems not going to survive if the service is still like this. Delivering parcels late, slow delivery, closing for unknown reasons Is to understand that Lek organization has just entered into a new business, but if not …"," Seems not going to survive if the service is still like this. Delivering parcels late, slow delivery, closing for unknown reasons Is to understand that Lek organization has just entered into a new business, but if not …"," Seems not going to survive if the service is still like this. Delivering parcels late, slow delivery, closing for unknown reasons Is to understand that Lek organization has just entered into a new business, but if not …"
49,49,61,1.0,(Translated by Google) Poor one word  (Original) แย่คำเดียว, Poor one word  (Original, Poor one word  
50,0,0,5.0,"(Translated by Google) Oh, I'll try to answer the question. Please give the staff time to study the details more fluently. Sorry for the late reply, everyone. …"," Oh, I'll try to answer the question. Please give the staff time to study the details more fluently. Sorry for the late reply, everyone. …"," Oh, I'll try to answer the question. Please give the staff time to study the details more fluently. Sorry for the late reply, everyone. …"
51,1,1,1.0,"(Translated by Google) Slow delivery, customers wait a long time.  (Original) ส่งของช้าลูกค้าก็รอของนาน"," Slow delivery, customers wait a long time.  (Original"," Slow delivery, customers wait a long time.  "
52,2,2,1.0,(Translated by Google) Employees to enter or not to receive the product are not informed. Calls can never be contacted. Called did not answer. and will give you a phone number for........ …, Employees to enter or not to receive the product are not informed. Calls can never be contacted. Called did not answer. and will give you a phone number for........ …, Employees to enter or not to receive the product are not informed. Calls can never be contacted. Called did not answer. and will give you a phone number for........ …
53,3,3,1.0,(Translated by Google) Worst branch in bass  (Original) สาขาที่ห่วยแตกที่สุดในเบส, Worst branch in bass  (Original, Worst branch in bass  
54,4,4,1.0,"(Translated by Google) It is a branch that I want to contact very much. Don't come and send anything or anything. Move to send to another place. Called 10 times no one answering the call Who will use the service, think carefully, your stuff …"," It is a branch that I want to contact very much. Don't come and send anything or anything. Move to send to another place. Called 10 times no one answering the call Who will use the service, think carefully, your stuff …"," It is a branch that I want to contact very much. Don't come and send anything or anything. Move to send to another place. Called 10 times no one answering the call Who will use the service, think carefully, your stuff …"
55,5,5,1.0,"(Translated by Google) Very bad service, I sent the product in 7 days and it still hasn't arrived. together in Bangkok Very difficult to contact the branch The number given to call is not a single number. The delivery date continues with …"," Very bad service, I sent the product in 7 days and it still hasn't arrived. together in Bangkok Very difficult to contact the branch The number given to call is not a single number. The delivery date continues with …"," Very bad service, I sent the product in 7 days and it still hasn't arrived. together in Bangkok Very difficult to contact the branch The number given to call is not a single number. The delivery date continues with …"
56,6,6,1.0,"(Translated by Google) Sucks, another confirmation.  (Original) ห่วยจิงครับ ยืนยันอีกเสียง"," Sucks, another confirmation.  (Original"," Sucks, another confirmation.  "
57,7,7,5.0,(Translated by Google) good  (Original) ดีครับ, good  (Original, good  
58,8,8,1.0,(Translated by Google) It's been 5 days. Sending items from Sukhothai. It says 2 days. It's full here. On the 5th. Today the items are still here. Called yesterday and said not enough staff Is it still there? …, It's been 5 days. Sending items from Sukhothai. It says 2 days. It's full here. On the 5th. Today the items are still here. Called yesterday and said not enough staff Is it still there? …, It's been 5 days. Sending items from Sukhothai. It says 2 days. It's full here. On the 5th. Today the items are still here. Called yesterday and said not enough staff Is it still there? …
59,9,9,1.0,(Translated by Google) Items arrived at the branch 2 days ago and still not delivered until now. In the system it says that the officers are not enough?...I want to go crazy. The phone went off and there was no one answering. Call the call …, Items arrived at the branch 2 days ago and still not delivered until now. In the system it says that the officers are not enough?...I want to go crazy. The phone went off and there was no one answering. Call the call …, Items arrived at the branch 2 days ago and still not delivered until now. In the system it says that the officers are not enough?...I want to go crazy. The phone went off and there was no one answering. Call the call …
60,10,10,1.0,"(Translated by Google) provided number Is it really usable? Or give it to just complete the number, can't be contacted The product should have been delivered from 29/5 until now, still not received. …"," provided number Is it really usable? Or give it to just complete the number, can't be contacted The product should have been delivered from 29/5 until now, still not received. …"," provided number Is it really usable? Or give it to just complete the number, can't be contacted The product should have been delivered from 29/5 until now, still not received. …"
61,11,11,1.0,(Translated by Google) Very bad call all day no one answer Plus turn off the device The attendant must have a call to say that he or she will come and deliver. But there was none this time. We sat in bed for 3 days without going anywhere. …, Very bad call all day no one answer Plus turn off the device The attendant must have a call to say that he or she will come and deliver. But there was none this time. We sat in bed for 3 days without going anywhere. …, Very bad call all day no one answer Plus turn off the device The attendant must have a call to say that he or she will come and deliver. But there was none this time. We sat in bed for 3 days without going anywhere. …
62,12,12,1.0,(Translated by Google) The item bounced back three days ago. I don't know when I'll get it. …, The item bounced back three days ago. I don't know when I'll get it. …, The item bounced back three days ago. I don't know when I'll get it. …
63,13,13,1.0,"(Translated by Google) Service is very bad, very bad, it is a shop in Shopee, specified to be sent to Best Express this branch, 7 days have passed, do not deliver and return the product back to the shop, the customer is very good, happy to …"," Service is very bad, very bad, it is a shop in Shopee, specified to be sent to Best Express this branch, 7 days have passed, do not deliver and return the product back to the shop, the customer is very good, happy to …"," Service is very bad, very bad, it is a shop in Shopee, specified to be sent to Best Express this branch, 7 days have passed, do not deliver and return the product back to the shop, the customer is very good, happy to …"
64,14,14,1.0,"(Translated by Google) Very bad, this branch delivers goods late, no calls to inform customers. Scroll in the system and scroll again. …"," Very bad, this branch delivers goods late, no calls to inform customers. Scroll in the system and scroll again. …"," Very bad, this branch delivers goods late, no calls to inform customers. Scroll in the system and scroll again. …"
65,15,15,1.0,(Translated by Google) Very bad. Service is very bad.  (Original) …, Very bad. Service is very bad.  (Original, Very bad. Service is very bad.  
66,16,16,1.0,(Translated by Google) Can't contact at all Which number do I need to contact?  (Original) …, Can't contact at all Which number do I need to contact?  (Original, Can't contact at all Which number do I need to contact?  
67,17,17,1.0,"(Translated by Google) Very difficult to contact, does not answer the phone, answer the phone very difficult, will go to receive the product, hurriedly bounce back to the warehouse Difficult to contact, can't ask at all. …"," Very difficult to contact, does not answer the phone, answer the phone very difficult, will go to receive the product, hurriedly bounce back to the warehouse Difficult to contact, can't ask at all. …"," Very difficult to contact, does not answer the phone, answer the phone very difficult, will go to receive the product, hurriedly bounce back to the warehouse Difficult to contact, can't ask at all. …"
68,18,18,1.0,(Translated by Google) Awful. Waiting for the call but no one called me. That's it. Huay Sud Nawamin branch …, Awful. Waiting for the call but no one called me. That's it. Huay Sud Nawamin branch …, Awful. Waiting for the call but no one called me. That's it. Huay Sud Nawamin branch …
69,19,19,1.0,"(Translated by Google) I will say that it is a very bad branch. If not necessary, do not use this branch. Appointment for pick up from Monday 29/03/64 until 31/03/64 now have not come to receive the item. Called, no one answered the call. …"," I will say that it is a very bad branch. If not necessary, do not use this branch. Appointment for pick up from Monday 29/03/64 until 31/03/64 now have not come to receive the item. Called, no one answered the call. …"," I will say that it is a very bad branch. If not necessary, do not use this branch. Appointment for pick up from Monday 29/03/64 until 31/03/64 now have not come to receive the item. Called, no one answered the call. …"
70,20,20,1.0,"(Translated by Google) That is, if there are no people, this branch will be closed. Worst, the call is not accepted. …"," That is, if there are no people, this branch will be closed. Worst, the call is not accepted. …"," That is, if there are no people, this branch will be closed. Worst, the call is not accepted. …"
71,21,21,1.0,"(Translated by Google) Master, there is no one to take it. Is it okay? The status of the delivery is being delivered, when in the evening it shows that the delivery is not successful 3 times There was no master to wait all day. I …"," Master, there is no one to take it. Is it okay? The status of the delivery is being delivered, when in the evening it shows that the delivery is not successful 3 times There was no master to wait all day. I …"," Master, there is no one to take it. Is it okay? The status of the delivery is being delivered, when in the evening it shows that the delivery is not successful 3 times There was no master to wait all day. I …"
72,22,22,1.0,"(Translated by Google) Desperate is the most isolated transport, slow delivery, lost items, have to sit by the goods, have to sit and hope that the goods will arrive or not. That is, if you choose not to use the service, absolutely …"," Desperate is the most isolated transport, slow delivery, lost items, have to sit by the goods, have to sit and hope that the goods will arrive or not. That is, if you choose not to use the service, absolutely …"," Desperate is the most isolated transport, slow delivery, lost items, have to sit by the goods, have to sit and hope that the goods will arrive or not. That is, if you choose not to use the service, absolutely …"
73,23,23,1.0,"(Translated by Google) In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"," In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"," In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"
74,24,24,1.0,(Translated by Google) The path is not known But didn't call Bringing things back to the warehouse as before. …, The path is not known But didn't call Bringing things back to the warehouse as before. …, The path is not known But didn't call Bringing things back to the warehouse as before. …
